iter	Passed	Remaining
0	92	13833
1	120	8902
2	146	7198
3	166	6069
4	185	5366
5	204	4902
6	223	4555
7	241	4291
8	263	4130
9	282	3950
10	301	3805
11	319	3670
12	340	3587
13	362	3524
14	384	3457
15	402	3372
16	422	3308
17	442	3246
18	467	3222
19	487	3171
20	523	3215
21	560	3261
22	584	3224
23	606	3186
24	627	3139
25	656	3130
26	716	3265
27	753	3284
28	816	3408
29	868	3475
30	905	3476
31	964	3557
32	1015	3600
33	1068	3644
34	1096	3604
35	1123	3556
36	1160	3544
37	1187	3499
38	1217	3463
39	1241	3414
40	1264	3362
41	1284	3303
42	1303	3243
43	1322	3187
44	1343	3133
45	1360	3076
46	1382	3030
47	1403	2982
48	1426	2940
49	1446	2892
50	1466	2845
51	1484	2797
52	1507	2758
53	1528	2718
54	1548	2674
55	1568	2632
56	1589	2594
57	1612	2557
58	1633	2519
59	1657	2485
60	1678	2448
61	1702	2416
62	1728	2386
63	1754	2357
64	1773	2319
65	1793	2282
66	1812	2245
67	1834	2212
68	1852	2174
69	1871	2138
70	1891	2104
71	1912	2071
72	1931	2037
73	1952	2005
74	1974	1974
75	1992	1940
76	2012	1908
77	2031	1875
78	2050	1843
79	2069	1810
80	2088	1778
81	2106	1747
82	2127	1717
83	2152	1691
84	2181	1668
85	2204	1640
86	2229	1614
87	2251	1586
88	2276	1560
89	2295	1530
90	2314	1500
91	2332	1470
92	2350	1440
93	2368	1410
94	2388	1382
95	2407	1354
96	2428	1326
97	2448	1299
98	2467	1271
99	2486	1243
100	2506	1216
101	2534	1192
102	2554	1165
103	2575	1139
104	2595	1112
105	2615	1085
106	2635	1059
107	2664	1036
108	2697	1014
109	2724	990
110	2756	968
111	2777	942
112	2798	916
113	2820	890
114	2843	865
115	2865	839
116	2885	813
117	2908	788
118	2933	764
119	2950	737
120	2970	711
121	2989	686
122	3011	661
123	3031	635
124	3051	610
125	3070	584
126	3089	559
127	3107	534
128	3126	508
129	3149	484
130	3173	460
131	3191	435
132	3212	410
133	3231	385
134	3249	361
135	3269	336
136	3289	312
137	3309	287
138	3332	263
139	3371	240
140	3411	217
141	3431	193
142	3456	169
143	3487	145
144	3514	121
145	3537	96
146	3558	72
147	3577	48
148	3598	24
149	3623	0
